"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 12월 18일","19.55","19.55","19.55","19.55","-","-1.51%"
"2020년 12월 17일","19.85","19.85","19.85","19.85","-","-2.70%"
"2020년 12월 16일","20.40","20.40","20.40","20.40","-","-0.49%"
"2020년 12월 15일","20.50","20.50","20.50","20.50","0.00K","-3.53%"
"2020년 12월 14일","21.25","21.25","21.25","21.25","-","7.05%"
"2020년 12월 11일","19.85","19.85","19.85","19.85","-","-1.00%"
"2020년 12월 10일","20.05","20.05","20.05","20.05","-","-1.23%"
"2020년 12월 09일","20.30","20.70","20.70","20.30","0.00K","-1.93%"
"2020년 12월 08일","20.70","20.70","20.70","20.70","-","-4.61%"
"2020년 12월 07일","21.70","21.80","21.80","21.70","0.00K","4.83%"
"2020년 12월 04일","20.70","20.70","20.70","20.70","0.00K","3.50%"
"2020년 12월 03일","20.00","20.00","20.00","20.00","-","-0.99%"
"2020년 12월 02일","20.20","20.20","20.20","20.20","-","0.00%"
"2020년 12월 01일","20.20","20.20","20.20","20.20","-","-3.35%"
"2020년 11월 30일","20.90","20.90","20.90","20.90","0.01K","2.20%"
"2020년 11월 27일","20.45","20.45","20.45","20.45","0.00K","1.49%"
"2020년 11월 26일","20.15","20.15","20.15","20.15","0.00K","-0.74%"
"2020년 11월 25일","20.30","20.30","20.30","20.30","0.03K","2.53%"
"2020년 11월 24일","19.80","19.80","19.80","19.80","-","0.51%"
"2020년 11월 23일","19.70","19.70","19.70","19.70","0.00K","2.60%"
"2020년 11월 20일","19.20","19.20","19.20","19.20","-","-5.19%"
"2020년 11월 19일","20.25","20.25","20.25","20.25","0.00K","3.05%"
"2020년 11월 18일","19.65","19.65","19.65","19.65","-","-0.25%"
"2020년 11월 17일","19.70","19.70","19.70","19.70","-","-6.64%"
"2020년 11월 16일","21.10","21.00","21.10","21.00","0.02K","4.20%"
"2020년 11월 13일","20.25","20.30","20.30","20.25","0.02K","2.02%"
"2020년 11월 12일","19.85","19.85","19.85","19.85","-","-4.11%"
"2020년 11월 11일","20.70","20.70","20.70","20.70","-","-4.17%"
"2020년 11월 10일","21.60","21.60","21.60","21.60","-","0.00%"
"2020년 11월 09일","21.60","21.60","21.60","21.60","-","1.17%"
